,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
43,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,McDonald's,52.583974081465456,13.286769927028436,Fast Food Restaurant
44,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,C&A,52.59004558844634,13.282905232478038,Clothing Store
45,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,REWE,52.58465638889975,13.28621599255564,Supermarket
46,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Kandulski Café & Konditorei,52.58810383751375,13.2849383354187,Café
47,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Brasserie Alt-Tegel,52.589055485155974,13.280432224273682,Brasserie
48,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Sparda-Bank Berlin,52.58954959380557,13.283761516277103,Credit Union
49,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Curry 27,52.590257913145116,13.282802286347184,Snack Place
50,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Double X Club,52.58888068461922,13.288914695826387,Nightclub
51,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,"""Kanonenplatz"" Am Tegeler See",52.58426890334421,13.27476309657715,Lake
52,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Pavillon am See,52.588554106028745,13.273017453454182,Café
53,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,A.T.U Berlin - Tegel,52.593828,13.285289,Automotive Shop
54,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Tabakwaren S. Muslu,52.57758,13.27896,Miscellaneous Shop
55,Friedrichshain-Kreuzberg,52.586016,13.449999809222,Syrtaki,52.59282626707126,13.45481458980235,Greek Restaurant
56,Friedrichshain-Kreuzberg,52.586016,13.449999809222,Meisterbäckerei Steinecke,52.590922057199954,13.445461003264,Bakery
57,Friedrichshain-Kreuzberg,52.586016,13.449999809222,S Blankenburg,52.59136078849369,13.443423880889817,Light Rail Station
58,Friedrichshain-Kreuzberg,52.586016,13.449999809222,H S Blankenburg,52.59088702279904,13.442351818084717,Bus Stop
59,Friedrichshain-Kreuzberg,52.586016,13.449999809222,ce-roeder,52.58205,13.440699999999993,Electronics Store
60,Friedrichshain-Kreuzberg,52.586016,13.449999809222,Kaffee-Haus Madlen,52.593037155451476,13.457036553644249,Café
